model_name,epoch,checkpoint,tensorboard_step,loss,score
0623V01,1,0,270,0,406.14944356679916
0623V01,2,0,540,0,268.04557514190674
0623V01,3,0,810,0,240.3462180495262
0623V03,0,0,270,0,363.45991456508636
0623V03,1,0,540,0,266.0567296743393
0623V03,2,0,810,0,240.53729993104926
0623V03,3,0,1080,0,233.17023581266403
0623V03,4,0,1350,0,224.4981917142868
0623V03,5,0,1620,0,219.87901896238327
0623V03,6,0,1890,0,214.99998193979263
0623V03,7,0,2160,0,212.97783625125885
0623V03,8,0,2430,0,210.11994856596002
0623V03,9,0,2700,0,208.08482950925827
0623V03,10,0,2970,0,206.35666304826736
0623V03,11,0,3240,0,203.08322888612747
0623V03,12,0,3510,0,201.18801546096802
0623V03,13,0,3780,0,200.2255976200104
0623V03,14,0,4050,0,198.68734222650528
0623V03,15,0,4320,0,197.23556405305862
0623V03,16,0,4590,0,195.57538121938703
0623V03,16,0,4860,0,1423.3880503177645
0623V03,17,0,5130,0,380.45090210437775
0624V01,0,0,270,0,204.71257305145264
0624V01,1,0,540,0,203.85349535942078
0624V01,2,0,810,0,200.65778064727783
0624V01,3,0,1080,0,198.71281957626343
0624V01,4,0,1350,0,196.3274193406105
0624V01,5,0,1620,0,196.12752467393875
0624V01,6,0,1890,0,193.31743377447128
0624V01,7,0,2160,0,192.0324206352234
0624V01,8,0,2430,0,192.2440071105957
0624V01,9,0,2700,0,191.08153229951859
0624V01,10,0,2970,0,188.13687270879745
0624V01,11,0,3240,0,188.1000390648842
0624V01,12,0,3510,0,187.8138449192047
0624V01,13,0,3780,0,186.68077111244202
0624V01,14,0,4050,0,185.40115118026733
0624V01,15,0,4320,0,185.0741560459137
0624V01,16,0,4590,0,183.12327498197556
0624V01,17,0,4860,0,183.27675020694733
0624V01,18,0,5130,0,181.35222625732422
0624V01,19,0,5400,0,181.05992656946182
